SampleID,treatment,crop,harvest,drought,planted,summarise,summarise_new,dna_rna
DNA_85,H2WW(P5),switchgrass,Day 3,watered,planted,Day 3planted,watered_planted,DNA
DNA_86,H2WW(U1),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_87,H2WW(U2),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_88,H2WW(U3),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_89,H2WW(U4),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_90,H2WW(U5),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_93,H3WW(P1),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_94,H3WW(P2),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_95,H3WW(P3),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_96,H3WW(P4),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_97,H3WW(P5),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_98,H3WW(U1),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_99,H3WW(U2),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_100,H3WW(U3),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_101,H3WW(U4),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_102,H3WW(U5),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_105,H4WW(P1),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_106,H4WW(P2),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_107,H4WW(P3),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_108,H4WW(P4),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_109,H4WW(P5),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_110,H4WW(U1),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_111,H4WW(U2),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_112,H4WW(U3),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_113,H4WW(U4),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_114,H4WW(U5),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_115,H5WW(P1),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_116,H5WW(P2),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_117,H5WW(P3),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_118,H5WW(P4),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_119,H5WW(P5),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_122,H5WW(U1),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_123,H5WW(U2),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_124,H5WW(U3),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_125,H5WW(U4),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_126,H5WW(U5),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_127,PreDr(P1),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,DNA
DNA_128,PreDr(P2),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,DNA
DNA_129,PreDr(P3),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,DNA
DNA_130,PreDr(P4),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,DNA
DNA_131,PreDr(P5),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,DNA
DNA_134,PreDr(U1),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,DNA
DNA_135,PreDr(U2),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,DNA
DNA_136,PreDr(U3),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,DNA
DNA_137,PreDr(U4),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,DNA
DNA_138,PreDr(U5),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,DNA
DNA_139,H1Dr(P1),bean,Day 2,drought,planted,Day 2planted,drought_planted,DNA
DNA_140,H1Dr(P2),bean,Day 2,drought,planted,Day 2planted,drought_planted,DNA
DNA_141,H1Dr(P3),bean,Day 2,drought,planted,Day 2planted,drought_planted,DNA
DNA_142,H1Dr(P4),bean,Day 2,drought,planted,Day 2planted,drought_planted,DNA
DNA_143,H1Dr(P5),bean,Day 2,drought,planted,Day 2planted,drought_planted,DNA
DNA_146,H1Dr(U1),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,DNA
DNA_147,H1Dr(U2),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,DNA
DNA_148,H1Dr(U3),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,DNA
DNA_149,H1Dr(U4),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,DNA
DNA_150,H1Dr(U5),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,DNA
DNA_151,H2Dr(P1),bean,Day 3,drought,planted,Day 3planted,drought_planted,DNA
DNA_152,H2Dr(P2),bean,Day 3,drought,planted,Day 3planted,drought_planted,DNA
DNA_153,H2Dr(P3),bean,Day 3,drought,planted,Day 3planted,drought_planted,DNA
DNA_154,H2Dr(P4),bean,Day 3,drought,planted,Day 3planted,drought_planted,DNA
DNA_155,H2Dr(P5),bean,Day 3,drought,planted,Day 3planted,drought_planted,DNA
DNA_156,H2Dr(U1),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,DNA
DNA_157,H2Dr(U2),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,DNA
DNA_158,H2Dr(U3),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,DNA
DNA_159,H2Dr(U4),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,DNA
DNA_160,H2Dr(U5),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,DNA
DNA_163,H3Dr(P1),bean,Day 4,drought,planted,Day 4planted,drought_planted,DNA
DNA_164,H3Dr(P2),bean,Day 4,drought,planted,Day 4planted,drought_planted,DNA
DNA_165,H3Dr(P3),bean,Day 4,drought,planted,Day 4planted,drought_planted,DNA
DNA_166,H3Dr(P4),bean,Day 4,drought,planted,Day 4planted,drought_planted,DNA
DNA_167,H3Dr(P5),bean,Day 4,drought,planted,Day 4planted,drought_planted,DNA
DNA_168,H3Dr(U1),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,DNA
DNA_169,H3Dr(U2),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,DNA
DNA_170,H3Dr(U3),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,DNA
DNA_171,H3Dr(U4),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,DNA
DNA_172,H3Dr(U5),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,DNA
DNA_173,H4Dr(P1),bean,Day 5,drought,planted,Day 5planted,drought_planted,DNA
DNA_174,H4Dr(P2),bean,Day 5,drought,planted,Day 5planted,drought_planted,DNA
