SampleID,treatment,crop,harvest,drought,planted,summarise,summarise_new,dna_rna
cDNA_187,H5Dr(P3),bean,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_188,H5Dr(P4),bean,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_189,H5Dr(P5),bean,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_190,H5Dr(U1),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_191,H5Dr(U2),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_192,H5Dr(U3),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_193,H5Dr(U4),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_194,H5Dr(U5),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_197,H1WW(P1),bean,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_198,H1WW(P2),bean,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_199,H1WW(P3),bean,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_200,H1WW(P4),bean,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_201,H1WW(P5),bean,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_202,H1WW(U1),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_203,H1WW(U2),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_204,H1WW(U3),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_205,H1WW(U4),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_206,H1WW(U5),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_209,H2WW(P1),bean,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_210,H2WW(P2),bean,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_211,H2WW(P3),bean,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_212,H2WW(P4),bean,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_213,H2WW(P5),bean,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_214,H2WW(U1),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_215,H2WW(U2),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_216,H2WW(U3),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_217,H2WW(U4),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_218,H2WW(U5),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_219,H3WW(P1),bean,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_220,H3WW(P2),bean,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_221,H3WW(P3),bean,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_222,H3WW(P4),bean,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_223,H3WW(P5),bean,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_226,H3WW(U1),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_227,H3WW(U2),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_228,H3WW(U3),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_229,H3WW(U4),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_230,H3WW(U5),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_231,H4WW(P1),bean,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_232,H4WW(P2),bean,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_233,H4WW(P3),bean,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_234,H4WW(P4),bean,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_235,H4WW(P5),bean,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_236,H4WW(U1),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_237,H4WW(U2),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_238,H4WW(U3),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_239,H4WW(U4),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_240,H4WW(U5),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
